Destination City,"Cancun, Mexico (2016)","London, United Kingdom (2016)","Tokyo, Japan (2016)","Toronto, Canada (2016)","Mexico City, Mexico (2016)","Amsterdam, Netherlands (2016)","Paris, France (2016)","Punta Cana, Dominican Republic (2016)","Vancouver, Canada (2016)","San Jose del Cabo, Mexico (2016)","Montego Bay, Jamaica (2016)"
1,339521.0,189854.0,187259.0,112824.0,146113.0,90014.0,86934.0,101076.0,84542.0,100369.0,95625.0
2,348946.0,144244.0,181669.0,113504.0,126459.0,75229.0,67533.0,114398.0,84384.0,106407.0,94428.0
3,442569.0,204878.0,218102.0,129763.0,141500.0,110462.0,111262.0,146171.0,96750.0,137366.0,119106.0
4,362755.0,231415.0,160618.0,125369.0,122441.0,144508.0,126142.0,126757.0,90753.0,114901.0,103710.0
5,345835.0,243036.0,204508.0,141088.0,133772.0,161621.0,152090.0,130943.0,119813.0,104269.0,96931.0
6,390589.0,291347.0,218294.0,139626.0,150746.0,161598.0,158406.0,163933.0,130399.0,122376.0,118668.0
7,418707.0,249647.0,200928.0,149192.0,165497.0,147317.0,144014.0,203001.0,141990.0,126829.0,135206.0
8,321024.0,264334.0,224132.0,153925.0,151070.0,159403.0,145230.0,134192.0,136952.0,92968.0,107383.0
9,205865.0,256168.0,215808.0,147355.0,129219.0,152280.0,137918.0,69750.0,106974.0,63823.0,69305.0
10,256341.0,220734.0,201566.0,142414.0,143185.0,137474.0,114785.0,75242.0,84202.0,99175.0,73704.0
11,299700.0,204035.0,182397.0,125478.0,144939.0,98660.0,90456.0,87706.0,67816.0,105677.0,87250.0
12,404399.0,234164.0,198514.0,108341.0,173563.0,110715.0,111718.0,118774.0,82353.0,138391.0,123056.0
