Destination City,"Cancun, Mexico (2013)","London, United Kingdom (2013)","Tokyo, Japan (2013)","Toronto, Canada (2013)","Mexico City, Mexico (2013)","Amsterdam, Netherlands (2013)","Paris, France (2013)","Punta Cana, Dominican Republic (2013)","Vancouver, Canada (2013)","San Jose del Cabo, Mexico (2013)","Montego Bay, Jamaica (2013)"
1,243338.0,182396.0,210495.0,129769.0,117427.0,89425.0,76687.0,68028.0,73993.0,73238.0,71698.0
2,260307.0,141724.0,202885.0,114373.0,99873.0,73576.0,65649.0,71458.0,69637.0,85780.0,72542.0
3,335126.0,209516.0,234854.0,145755.0,109929.0,104179.0,96798.0,96041.0,80763.0,119661.0,101098.0
4,257706.0,230147.0,181580.0,135732.0,107235.0,124295.0,97074.0,78342.0,76596.0,90928.0,87603.0
5,262654.0,274723.0,221660.0,147946.0,110923.0,155463.0,128212.0,80952.0,99378.0,86924.0,87729.0
6,275327.0,294647.0,238510.0,141979.0,128979.0,161462.0,139954.0,111167.0,120500.0,101311.0,106323.0
7,273851.0,263591.0,225707.0,150384.0,147190.0,148674.0,127710.0,125226.0,134594.0,102849.0,115152.0
8,235885.0,285583.0,248870.0,168596.0,138723.0,165006.0,137910.0,88408.0,137460.0,85178.0,93774.0
9,144330.0,281885.0,221712.0,139784.0,105585.0,146622.0,138758.0,44595.0,97358.0,54455.0,51952.0
10,175130.0,227579.0,215738.0,139160.0,118660.0,127654.0,119145.0,49204.0,76110.0,82090.0,63831.0
11,217408.0,188430.0,199522.0,119765.0,127072.0,96116.0,89191.0,68727.0,68394.0,91784.0,74637.0
12,273329.0,217293.0,210701.0,118108.0,158832.0,106061.0,104106.0,84450.0,79404.0,97456.0,96484.0
