Destination City,"Cancun, Mexico (2014)","London, United Kingdom (2014)","Tokyo, Japan (2014)","Toronto, Canada (2014)","Mexico City, Mexico (2014)","Amsterdam, Netherlands (2014)","Paris, France (2014)","Punta Cana, Dominican Republic (2014)","Vancouver, Canada (2014)","San Jose del Cabo, Mexico (2014)","Montego Bay, Jamaica (2014)"
1,271477.0,186203.0,207282.0,111440.0,123337.0,92024.0,84427.0,78653.0,79748.0,85642.0,74116.0
2,285503.0,139282.0,183720.0,110806.0,101603.0,75205.0,65629.0,87483.0,77194.0,99985.0,75288.0
3,356042.0,200812.0,228642.0,141780.0,116411.0,103942.0,104760.0,115090.0,92039.0,133953.0,99410.0
4,291932.0,237084.0,171295.0,135353.0,113027.0,110880.0,119432.0,99988.0,84624.0,110336.0,91908.0
5,290454.0,270168.0,207734.0,150955.0,115908.0,142314.0,144715.0,110918.0,107407.0,103055.0,93346.0
6,305770.0,289936.0,221041.0,148785.0,132531.0,148705.0,151090.0,129194.0,130653.0,116781.0,109917.0
7,322587.0,247413.0,208181.0,152675.0,149081.0,132277.0,138374.0,145574.0,142649.0,115135.0,123067.0
8,259315.0,277253.0,236415.0,159494.0,139030.0,154280.0,147566.0,107110.0,147179.0,92535.0,101392.0
9,157438.0,266087.0,215623.0,144728.0,109709.0,150822.0,137011.0,56827.0,101825.0,24962.0,55935.0
10,209693.0,222156.0,205958.0,139885.0,119779.0,132861.0,117379.0,62873.0,87227.0,19285.0,68958.0
11,259984.0,192910.0,191586.0,121635.0,123914.0,100080.0,87982.0,79192.0,82579.0,62816.0,84053.0
12,319556.0,216541.0,196364.0,120946.0,157387.0,106302.0,106690.0,99632.0,89568.0,87495.0,106301.0
